教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
B113211800014,B1,13,2,,1,,,瑞光小学校,ズイコウショウガッコウ,,荒川区,南千住1丁目,51-1,1160003,35.735029,139.791274,,(03)3801-4239,2020-12-22,,130731,
B113211800023,B1,13,2,,1,,,第二瑞光小学校,ダイニズイコウショウガッコウ,,荒川区,南千住5丁目,8-1,1160003,35.733713,139.794750,,(03)3801-4700,2020-12-22,,130732,
B113211800032,B1,13,2,,1,,,第三瑞光小学校,ダイサンズイコウショウガッコウ,,荒川区,南千住7丁目,9-1,1160003,35.735598,139.798702,,(03)3801-5007,2020-12-22,,130733,
B113211800238,B1,13,2,,1,,,汐入小学校,シオイリショウガッコウ,,荒川区,南千住8丁目,2-3,1160003,35.734672,139.807803,,(03)3802-0089,2020-12-22,,130735,
B113211800247,B1,13,2,,1,,,汐入東小学校,シオイリヒガシショウガッコウ,,荒川区,南千住8丁目,9-3,1160003,35.738922,139.811606,,(03)3801-2722,2020-12-22,,130760,
B113211800041,B1,13,2,,1,,,第六瑞光小学校,ダイロクズイコウショウガッコウ,,荒川区,南千住1丁目,4-11,1160003,35.733084,139.789152,,(03)3891-5239,2020-12-22,,130736,
B113211800229,B1,13,2,,1,,,峡田小学校,ハケタショウガッコウ,,荒川区,荒川3丁目,77-1,1160002,35.736355,139.777332,,(03)3891-2051,2020-12-22,,130759,
B113211800050,B1,13,2,,1,,,第二峡田小学校,ダイニハケタショウガッコウ,,荒川区,荒川2丁目,30-1,1160002,35.738388,139.782813,,(03)3801-2002,2020-12-22,,130738,
B113211800069,B1,13,2,,1,,,第三峡田小学校,ダイサンハケタショウガッコウ,,荒川区,荒川1丁目,43-1,1160002,35.733288,139.786073,,(03)3891-0756,2020-12-22,,130739,
B113211800078,B1,13,2,,1,,,第四峡田小学校,ダイシハケタショウガッコウ,,荒川区,町屋2丁目,11-6,1160001,35.744617,139.780137,,(03)3895-6864,2020-12-22,,130740,
