教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
,A1,13,,千代田区,,,,麹町幼稚園,コウジマチヨウチエン,,千代田区,麹町2丁目,8番地,1020083,35.685003,139.739481,,,,,,
,A1,13,,千代田区,,,,九段幼稚園,クダンヨウチエン,,千代田区,三番町,16番地,1020075,35.690547,139.740795,,,,,,
,A1,13,,千代田区,,,,番町幼稚園,バンチョウヨウチエン,,千代田区,六番町,8番地,1020085,35.687657,139.733574,,,,,,
,A1,13,,千代田区,,,,お茶の水幼稚園,オチャノミズヨウチエン,,千代田区,神田猿楽町1丁目,1番1号,1020071,35.697355,139.74872,,,,,,
,A1,13,,千代田区,,,,千代田幼稚園,チヨダヨウチエン,,千代田区,神田司町2丁目,16番地,1010048,35.693186,139.768434,,,,,,
,A1,13,,千代田区,,,,昌平幼稚園,ショウヘイヨウチエン,,千代田区,外神田3丁目,4番7号,1010021,35.701194,139.769867,,,,,,
,A1,13,,千代田区,,,,いずみこども園,イズミコドモエン,,千代田区,神田和泉町,1番地,1010024,35.698826,139.778366,,,,,,
,A1,13,,千代田区,,,,ふじみこども園,フジミコドモエン,,千代田区,富士見1丁目,10番3号,1020071,35.69722,139.746488,,,,,,
,B1,,,千代田区,,,,麹町小学校,コウジマチショウガッコウ,,千代田区,麹町2丁目,8番地,,,,,,,,,
,B1,,,千代田区,,,,九段小学校,クダンショウガッコウ,,千代田区,三番町,16番地,,,,,,,,,
,B1,,,千代田区,,,,番町小学校,バンチョウショウガッコウ,,千代田区,六番町,8番地,,,,,,,,,
,B1,,,千代田区,,,,富士見小学校,フジミショウガッコウ,,千代田区,富士見1丁目,10番3号,,,,,,,,,
,B1,,,千代田区,,,,お茶の水小学校,オチャノミズショウガッコウ,,千代田区,神田猿楽町1丁目,1番1号,,,,,,,,,
,B1,,,千代田区,,,,千代田小学校,チヨダショウガッコウ,,千代田区,神田司町2丁目,16番地,,,,,,,,,
,B1,,,千代田区,,,,昌平小学校,ショウヘイショウガッコウ,,千代田区,外神田3丁目,4番7号,,,,,,,,,
,B1,,,千代田区,,,,和泉小学校,イズミショウガッコウ,,千代田区,神田和泉町,1番地,,,,,,,,,
,C1,,,千代田区,,,,麹町中学校,コウジマチチュウガッコウ,,千代田区,平河町2丁目,5番1号,,,,,,,,,
,C1,,,千代田区,,,,神田一橋中学校,カンダヒトツバシチュウガッコウ,,千代田区,一ツ橋2丁目,6番14号,,,,,,,,,
,D2,,,千代田区,,,,九段中等教育学校,クダンチュウトウキョウイクガッコウ,,千代田区,九段北2丁目,2番1号,,,,,,,,,
