教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
,B1,13,,,,,,城東,,,中央区,八重洲2丁目,2番1号,1040028,35.679059,139.769114,,(03)3272-1611,,,,
,B1,13,,,,,,泰明,,,中央区,銀座5丁目,1番13号,1040061,35.672383,139.761495,,(03)3571-1765,,,,
,B1,13,,,,,,中央,,,中央区,湊1丁目,4番1号,1040043,35.672171,139.77876,,(03)3551-0565,,,,
,B1,13,,,,,,明石,,,中央区,明石町,1番15号,1040044,35.668734,139.776472,,(03)3541-8335,,,,
,B1,13,,,,,,京橋築地,,,中央区,築地2丁目,1番13号,1040045,35.667975,139.771173,,(03)3541-0642,,,,
,B1,13,,,,,,明正,,,中央区,新川2丁目,4番13号,1040033,35.676011,139.781852,,(03)3551-5812,,,,
,B1,13,,,,,,常盤,,,中央区,日本橋本石町4丁目,4番26号,1030021,35.688038,139.770509,,(03)3241-1910,,,,
,B1,13,,,,,,日本橋,,,中央区,日本橋人形町1丁目,1番17号,1030013,35.684273,139.78123,,(03)3668-2361,,,,
,B1,13,,,,,,有馬,,,中央区,日本橋蛎殻町2丁目,10番23号,1030014,35.683219,139.787989,,(03)3666-5702,,,,
,B1,13,,,,,,久松,,,中央区,日本橋久松町,7番2号,1030005,35.689056,139.784355,,(03)3661-6016,,,,
,B1,13,,,,,,阪本,,,中央区,日本橋兜町,15番18号,1030026,35.679538,139.776687,,(03)3666-0044,,,,
,B1,13,,,,,,佃島,,,中央区,佃2丁目,3番1号,1040051,35.668599,139.784518,,(03)3531-7208,,,,
,B1,13,,,,,,月島第一,,,中央区,月島4丁目,1番15号,1040052,35.660674,139.780093,,(03)3531-7285,,,,
,B1,13,,,,,,月島第二,,,中央区,勝どき1丁目,12番2号,1040054,35.66017,139.775931,,(03)3531-7268,,,,
,B1,13,,,,,,月島第三,,,中央区,晴海1丁目,4番1号,1040053,35.658848,139.785703,,(03)3531-7225,,,,
,B1,13,,,,,,豊海,,,中央区,豊海町,3番1号,1040055,35.653413,139.771548,,(03)3534-1251,,,,
,C1,13,,,,,,銀座,,,中央区,銀座8丁目,19番15号,1040061,35.665512,139.764854,,(03)3545-8011,,,,
,C1,13,,,,,,佃,,,中央区,佃2丁目,3番2号,1040051,35.667941,139.785025,,(03)3531-7214,,,,
,C1,13,,,,,,晴海,,,中央区,晴海1丁目,5番3号,1040053,35.659743,139.784908,,(03)3531-6308,,,,
,C1,13,,,,,,日本橋,,,中央区,東日本橋1丁目,10番1号,1030004,35.691933,139.786993,,(03)3851-4074,,,,
,A1,13,,,,,,泰明,,,中央区,銀座5丁目,1番13号,1040061,35.672383,139.761495,,(03)3571-5395,,,,
,A1,13,,,,,,中央,,,中央区,湊1丁目,4番1号,1040043,35.672171,139.77876,,(03)3551-4498,,,,
,A1,13,,,,,,明石,,,中央区,明石町,1番15号,1040044,35.668734,139.776472,,(03)3541-9522,,,,
,A1,13,,,,,,京橋朝海,,,中央区,築地2丁目,1番13号,1040045,35.667975,139.771173,,(03)3541-6280,,,,
,A1,13,,,,,,明正,,,中央区,新川2丁目,4番13号,1040033,35.676011,139.781852,,(03)3551-4864,,,,
,A1,13,,,,,,日本橋,,,中央区,日本橋人形町1丁目,1番17号,1030013,35.684273,139.78123,,(03)3668-2362,,,,
,A1,13,,,,,,有馬,,,中央区,日本橋蛎殻町2丁目,10番23号,1030014,35.683219,139.787989,,(03)3666-7998,,,,
,A1,13,,,,,,久松,,,中央区,日本橋久松町,7番2号,1030005,35.689056,139.784355,,(03)3661-3341,,,,
,A1,13,,,,,,月島,,,中央区,月島1丁目,9番7号,1040052,35.664709,139.782848,,(03)3531-1573,,,,
,A1,13,,,,,,月島第一,,,中央区,月島4丁目,1番15号,1040052,35.660674,139.780093,,(03)3532-2921,,,,
,A1,13,,,,,,月島第二,,,中央区,勝どき1丁目,12番2号,1040054,35.66017,139.775931,,(03)3532-2922,,,,
,A1,13,,,,,,晴海,,,中央区,晴海1丁目,4番1号,1040053,35.658848,139.785703,,(03)3532-2923,,,,
,A1,13,,,,,,豊海,,,中央区,豊海町,3番1号,1040055,35.653413,139.771548,,(03)3533-0725,,,,
A213310200011,A2,13,3,学校法人渋谷教育学園,1,,,阪本こども園,,,中央区,日本橋兜町,15番18号,1030026,35.679538,139.776687,,(03)6661-1176,2021/5/27,,13A130,
