教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
,C1,13,,,,,,板橋第一中学校,,,板橋区,大山東町,50-1,1730014,35.750427,139.704763,,(03)3962-5315,,,,
,C1,13,,,,,,板橋第二中学校,,,板橋区,幸町,26-1,1730034,35.745730,139.697472,,(03)3956-8121,,,,
,C1,13,,,,,,板橋第三中学校,,,板橋区,氷川町,22-3,1730013,35.755541,139.706457,,(03)3962-8865,,,,
,C1,13,,,,,,板橋第五中学校,,,板橋区,板橋4丁目,49-3,1730004,35.752430,139.719593,,(03)3962-7755,,,,
,C1,13,,,,,,加賀中学校,,,板橋区,加賀2丁目,19-1,1730003,35.760669,139.716104,,(03)3962-6331,,,,
,C1,13,,,,,,志村第一中学校,,,板橋区,大原町,33-1,1740061,35.767267,139.696975,,(03)3960-8786,,,,
,C1,13,,,,,,志村第二中学校,,,板橋区,小豆沢1丁目,21-1,1740051,35.775351,139.703017,,(03)3969-3363,,,,
,C1,13,,,,,,志村第三中学校,,,板橋区,坂下2丁目,21-1,1740043,35.783931,139.683235,,(03)3966-9176,,,,
,C1,13,,,,,,志村第四中学校,,,板橋区,志村3丁目,15-1,1740056,35.776526,139.684004,,(03)3966-9426,,,,
,C1,13,,,,,,志村第五中学校,,,板橋区,坂下2丁目,1-20,1740043,35.782392,139.685815,,(03)3969-8421,,,,
,C1,13,,,,,,西台中学校,,,板橋区,高島平1丁目,4-1,1750082,35.782077,139.671706,,(03)3934-4501,,,,
,C1,13,,,,,,中台中学校,,,板橋区,中台1丁目,56-23,1740064,35.769282,139.680351,,(03)3932-6357,,,,
,C1,13,,,,,,上板橋第一中学校,,,板橋区,小茂根1丁目,2-1,1730037,35.747410,139.680906,,(03)3956-8126,,,,
,C1,13,,,,,,上板橋第二中学校,,,板橋区,向原３丁目,1-12,1730036,35.74395299,139.6856744,,(03)3956-8136,,,,
,C1,13,,,,,,上板橋第三中学校,,,板橋区,常盤台3丁目,30-1,1740071,35.763517,139.682319,,(03)3960-2312,,,,
,C1,13,,,,,,桜川中学校,,,板橋区,桜川1丁目,2-1,1740075,35.756353,139.677169,,(03)3932-6355,,,,
,C1,13,,,,,,赤塚第一中学校,,,板橋区,徳丸4丁目,13-1,1750083,35.771754,139.652336,,(03)3932-5314,,,,
,C1,13,,,,,,赤塚第二中学校,,,板橋区,成増3丁目,18-1,1750094,35.780772,139.633083,,(03)3939-0247,,,,
,C1,13,,,,,,赤塚第三中学校,,,板橋区,赤塚7丁目,27-15,1750092,35.779703,139.648004,,(03)3930-3535,,,,
,C1,13,,,,,,高島第一中学校,,,板橋区,高島平8丁目,26-1,1750082,35.791900,139.662982,,(03)3936-1171,,,,
,C1,13,,,,,,高島第二中学校,,,板橋区,高島平2丁目,24-1,1750082,35.785241,139.660544,,(03)3936-1591,,,,
,C1,13,,,,,,高島第三中学校,,,板橋区,高島平4丁目,22-1,1750082,35.788527,139.651310,,(03)3938-2551,,,,
,B1,13,,,,,,志村小学校,,,板橋区,志村2丁目,16-3,1740056,35.775330,139.686732,,(03)3969-8418,,,,
,B1,13,,,,,,志村第一小学校,,,板橋区,泉町,17-1,1740055,35.766447,139.701447,,(03)3960-8561,,,,
,B1,13,,,,,,志村第二小学校,,,板橋区,志村1丁目,7-1,1740056,35.772555,139.697826,,(03)3969-8631,,,,
,B1,13,,,,,,志村第三小学校,,,板橋区,清水町,83-1,1740053,35.766979,139.705095,,(03)3961-1562,,,,
,B1,13,,,,,,志村第四小学校,,,板橋区,小豆沢4丁目,13-1,1740051,35.780458,139.701447,,(03)3966-3542,,,,
,B1,13,,,,,,志村第五小学校,,,板橋区,西台3丁目,38-23,1740045,35.777111,139.668523,,(03)3932-6347,,,,
,B1,13,,,,,,志村第六小学校,,,板橋区,坂下2丁目,18-1,1740043,35.783756,139.680640,,(03)3960-4177,,,,
