教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
,B1,13,,,,,,飯塚小学校,イイヅカショウガッコウ,,葛飾区,南水元1丁目,13-1,1250035,35.776702,139.858598,,(03)3607-4400,,,,
,B1,13,,,,,,幸田小学校,コウダショウガッコウ,,葛飾区,西水元3丁目,24-12,1250031,35.788074,139.849208,,(03)3600-3881,,,,
,B1,13,,,,,,花の木小学校,ハナノキショウガッコウ,,葛飾区,南水元3丁目,2-1,1250035,35.77424,139.864304,,(03)3609-3333,,,,
,B1,13,,,,,,東水元小学校,ヒガシミズモトショウガッコウ,,葛飾区,東水元5丁目,38-1,1250033,35.790838,139.867591,,(03)3627-5381,,,,
,B1,13,,,,,,水元小学校,ミズモトショウガッコウ,,葛飾区,水元4丁目,21-1,1250032,35.787271,139.864274,,(03)3607-0201,,,,
,B1,13,,,,,,金町小学校,カナマチショウガッコウ,,葛飾区,金町3丁目,44-1,1250042,35.766501,139.877419,,(03)3607-0354,,,,
,B1,13,,,,,,末広小学校,スエヒロショウガッコウ,,葛飾区,金町4丁目,21-1,1250042,35.766634,139.865292,,(03)3607-2864,,,,
,B1,13,,,,,,新宿小学校,ニイジュクショウガッコウ,,葛飾区,新宿2丁目,26-1,1250051,35.763082,139.858368,,(03)3607-0369,,,,
,B1,13,,,,,,原田小学校,ハラダショウガッコウ,,葛飾区,東金町2丁目,16-1,1250041,35.773235,139.868283,,(03)3607-2094,,,,
,B1,13,,,,,,半田小学校,ハンダショウガッコウ,,葛飾区,東金町5丁目,16-1,1250041,35.777342,139.876195,,(03)3607-3295,,,,
,B1,13,,,,,,東金町小学校,ヒガシカナマチショウガッコウ,,葛飾区,東金町1丁目,33-1,1250041,35.773366,139.870306,,(03)3627-1411,,,,
,B1,13,,,,,,鎌倉小学校,カマクラショウガッコウ,,葛飾区,鎌倉4丁目,24-1,1250053,35.747219,139.8827,,(03)3650-0326,,,,
,B1,13,,,,,,北野小学校,キタノショウガッコウ,,葛飾区,柴又3丁目,10-1,1250052,35.75982,139.871874,,(03)3607-3298,,,,
,B1,13,,,,,,柴原小学校,シバハラショウガッコウ,,葛飾区,金町1丁目,15-1,1250042,35.762893,139.867169,,(03)3607-1675,,,,
,B1,13,,,,,,柴又小学校,シバマタショウガッコウ,,葛飾区,柴又4丁目,30-1,1250052,35.75308,139.877211,,(03)3658-5167,,,,
,B1,13,,,,,,住吉小学校,スミヨシショウガッコウ,,葛飾区,高砂8丁目,14-1,1250054,35.754586,139.86704,,(03)3607-2349,,,,
,B1,13,,,,,,高砂小学校,タカサゴショウガッコウ,,葛飾区,高砂3丁目,30-1,1250054,35.746489,139.870244,,(03)3658-8231,,,,
,B1,13,,,,,,東柴又小学校,ヒガシシバマタショウガッコウ,,葛飾区,柴又5丁目,12-15,1250052,35.751907,139.880476,,(03)3658-5191,,,,
,B1,13,,,,,,細田小学校,ホソダショウガッコウ,,葛飾区,細田3丁目,20-1,1240021,35.741646,139.868472,,(03)3672-7125,,,,
,B1,13,,,,,,青戸小学校,アオトショウガッコウ,,葛飾区,青戸6丁目,18-1,1250062,35.751586,139.857322,,(03)3601-6185,,,,
,B1,13,,,,,,亀青小学校,カメアオショウガッコウ,,葛飾区,青戸8丁目,17-1,1250062,35.758897,139.852873,,(03)3601-8255,,,,
,B1,13,,,,,,白鳥小学校,シラトリショウガッコウ,,葛飾区,白鳥3丁目,4-1,1250063,35.750583,139.844075,,(03)3601-8650,,,,
,B1,13,,,,,,道上小学校,ミチウエショウガッコウ,,葛飾区,亀有4丁目,35-1,1250061,35.763881,139.845128,,(03)3601-8833,,,,
,B1,13,,,,,,中青戸小学校,ナカアオトショウガッコウ,,葛飾区,青戸4丁目,24-1,1250062,35.750755,139.851736,,(03)3602-6606,,,,
,B1,13,,,,,,中之台小学校,ナカノダイショウガッコウ,,葛飾区,亀有5丁目,2-1,1250061,35.766363,139.843087,,(03)3605-7353,,,,
,B1,13,,,,,,上千葉小学校,カミチバショウガッコウ,,葛飾区,東堀切3丁目,26-1,1240004,35.753796,139.838133,,(03)3601-8555,,,,
,B1,13,,,,,,こすげ小学校,コスゲショウガッコウ,,葛飾区,小菅3丁目,8-1,1240001,35.754445,139.82433,,(03)3602-6271,,,,
,B1,13,,,,,,西亀有小学校,ニシカメアリショウガッコウ,,葛飾区,西亀有2丁目,42-1,1240002,35.760723,139.834675,,(03)3601-7351,,,,
