No.,施設名,住所,緯度,経度,電話番号,カテゴリ,説明（日本語）
1,王子小学校,東京都北区王子2丁目7番1号,35.7575939062,139.735964226,(03)5902-3358,区立小学校,
2,王子第一小学校,東京都北区王子5丁目2番8号,35.765175,139.737516,(03)3919-9174,区立小学校,仮校舎に移転中（移転期間：平成30年9月1日～令和3年8月31日）
3,王子第二小学校,東京都北区王子本町2丁目2番5号,35.7562790682,139.732688556,(03)3908-2460,区立小学校,
4,王子第三小学校,東京都北区上十条5丁目2番3号,35.7654654206,139.71794509,(03)3907-2355,区立小学校,
5,王子第五小学校,東京都北区上十条2丁目18番17号,35.7595056693,139.719244833,(03)3907-2381,区立小学校,
6,荒川小学校,東京都北区中十条3丁目1番6号,35.7633925789,139.725663543,(03)3908-3949,区立小学校,
7,豊川小学校,東京都北区豊島3丁目10番23号,35.7609590228,139.74278228,(03)3913-4111,区立小学校,
8,堀船小学校,東京都北区堀船2丁目11番9号,35.7538321851,139.746425067,(03)3912-2868,区立小学校,
9,柳田小学校,東京都北区豊島2丁目11番20号,35.7576481114,139.743962216,(03)3911-5409,区立小学校,
10,東十条小学校,東京都北区東十条3丁目14番23号,35.7660467484,139.729009651,(03)3913-6648,区立小学校,
11,十条台小学校,東京都北区中十条1丁目5番6号,35.7586649505,139.73054084,(03)3908-3300,区立小学校,
12,としま若葉小学校,東京都北区豊島5丁目3番30号,35.766130756,139.750178484,(03)3912-1458,区立小学校,
13,赤羽小学校,東京都北区赤羽1丁目24番6号,35.7806475102,139.721544131,(03)3901-8510,区立小学校,
14,岩淵小学校,東京都北区岩淵町6番6号,35.7845572969,139.72600738,(03)3901-2950,区立小学校,
15,なでしこ小学校,東京都北区志茂1丁目34番17号,35.7770810,139.732015,(03)3901-2601,区立小学校,
16,第四岩淵小学校,東京都北区赤羽3丁目24番23号,35.7860293029,139.720659006,(03)3901-2501,区立小学校,
17,梅木小学校,東京都北区西が丘2丁目21番15号,35.7678867898,139.713887827,(03)3900-3393,区立小学校,
18,神谷小学校,東京都北区神谷2丁目30番5号,35.7721048015,139.729256375,(03)3901-2724,区立小学校,
19,稲田小学校,東京都北区赤羽南2丁目23番24号,35.773232453,139.725361554,(03)3902-2944,区立小学校,
20,桐ケ丘郷小学校,東京都北区桐ケ丘1丁目10番23号,35.7768329415,139.707163158,(03)3907-0878,区立小学校,
21,袋小学校,東京都北区赤羽北2丁目15番3号,35.7840394806,139.705759061,(03)3907-7483,区立小学校,
22,八幡小学校,東京都北区赤羽台3丁目18番5号,35.7808970532,139.714291644,(03)3900-8855,区立小学校,
23,浮間小学校,東京都北区浮間3丁目4番27号,35.7858416507,139.700528812,(03)3969-0491,区立小学校,
24,西浮間小学校,東京都北区浮間2丁目7番1号,35.7926503882,139.699207771,(03)5915-0133,区立小学校,
25,赤羽台西小学校,東京都北区赤羽台2丁目1番34号,35.7751742524,139.713617874,(03)3907-2475,区立小学校,
26,西が丘小学校,東京都北区十条仲原4丁目5番17号,35.7699183746,139.721294622,(03)3900-8866,区立小学校,
27,滝野川小学校,東京都北区西ケ原1丁目18番10号,35.7424994729,139.748073633,(03)3910-3703,区立小学校,
28,滝野川第二小学校,東京都北区滝野川6丁目19番4号,35.7448480068,139.726349646,(03)3916-3278,区立小学校,
29,滝野川第三小学校,東京都北区滝野川1丁目12番27号,35.7484395135,139.736657728,(03)3910-2502,区立小学校,
30,滝野川第四小学校,東京都北区東田端2丁目5番23号,35.7402950347,139.762320482,(03)3893-0041,区立小学校,
31,滝野川第五小学校,東京都北区昭和町3丁目3番12号,35.749564758,139.749601204,(03)3893-1200,区立小学校,
32,西ケ原小学校,東京都北区西ケ原4丁目19番21号,35.7431938169,139.736911521,(03)3910-5204,区立小学校,
33,谷端小学校,東京都北区滝野川7丁目12番17号,35.7447684157,139.721585354,(03)3916-1155,区立小学校,
34,田端小学校,東京都北区田端5丁目4番1号,35.737211597,139.756870466,(03)3823-0014,区立小学校,
35,滝野川もみじ小学校,東京都北区滝野川3丁目72番1号,35.7509667638,139.728456719,(03)3949-5267,区立小学校,
