No.,施設名,住所,緯度,経度,電話番号,カテゴリ,説明（日本語）
1,王子桜中学校,東京都北区王子2丁目7番1号,35.7586597665,139.735103361,(03)5902-3155,区立中学校,
2,十条富士見中学校,東京都北区十条台1丁目9番33号,35.7575368936,139.723085398,(03)5924-2401,区立中学校,
3,明桜中学校,東京都北区王子6丁目3番23号,35.7598749069,139.741558336,(03)5959-0031,区立中学校,
4,堀船中学校,東京都北区堀船2丁目23番20号,35.7555601121,139.746849054,(03)3911-8817,区立中学校,
5,稲付中学校,東京都北区赤羽西6丁目1番4号,35.7704776,139.70802,(03)3900-6211,区立中学校,
6,赤羽岩淵中学校,東京都北区赤羽2丁目6番18号,35.7794113288,139.726107376,(03)5249-4071,区立中学校,
7,桐ケ丘中学校,東京都北区桐ケ丘2丁目6番11号,35.780181597,139.708595044,(03)5963-3811,区立中学校,
8,神谷中学校,東京都北区神谷2丁目46番13号,35.7736395032,139.729412103,(03)3902-2461,区立中学校,
9,浮間中学校,東京都北区浮間4丁目29番32号,35.7903521167,139.693095071,(03)3967-0226,区立中学校,
10,田端中学校,東京都北区田端4丁目17番1号,35.738514,139.753902,(03)5814-7151,区立中学校,
11,滝野川紅葉中学校,東京都北区滝野川5丁目55番8号,35.7500000927,139.724833963,(03)5907-5020,区立中学校,
12,飛鳥中学校,東京都北区田端6丁目9番1号,35.7441634071,139.742600002,(03)3910-6175,区立中学校,仮校舎に移転中（移転期間：令和2年8月22日～令和5年3月31日）
,,,,,,,
,,,,,,,
,,,,,,,
