"教育機関_学校コード","教育機関_学校種","教育機関_都道府県番号","教育機関_設置区分","教育機関_設置者情報","教育機関_本分校","教育機関_本校学校コード","教育機関_本校学校名","教育機関_学校名","教育機関_学校名カナ表記","教育機関_学校略称","教育機関_学校所在地（市区町村）","教育機関_学校所在地（町字）","教育機関_学校所在地（番地以下）","教育機関_郵便番号","教育機関_緯度","教育機関_経度","教育機関_連絡先名称","教育機関_連絡先電話番号","教育機関_属性情報設定年月日","教育機関_属性情報廃止年月日","教育機関_旧学校調査番号","教育機関_移行後の学校コード"
"","B1","13","","","","","","明治小学校","メイジショウガッコウ","","江東区","深川2丁目","17-26","1350033","35.676200","139.797807","","(03)3641-0550","","","",""
"","B1","13","","","","","","深川小学校","フカガワショウガッコウ","","江東区","高橋","14-10","1350005","35.685891","139.799445","","(03)3631-2209","","","",""
"","B1","13","","","","","","八名川小学校","ヤナガワショウガッコウ","","江東区","新大橋3丁目","1-15","1350007","35.686830","139.795398","","(03)3631-2260","","","",""
"","B1","13","","","","","","臨海小学校","リンカイショウガッコウ","","江東区","門前仲町1丁目","1-6","1350048","35.672453","139.792968","","(03)3641-0403","","","",""
"","B1","13","","","","","","越中島小学校","エッチュウジマショウガッコウ","","江東区","越中島3丁目","6-38","1350044","35.666050","139.796371","","(03)3643-9650","","","",""
"","B1","13","","","","","","数矢小学校","カズヤショウガッコウ","","江東区","富岡1丁目","18-7","1350047","35.672594","139.799779","","(03)3642-0476","","","",""
"","B1","13","","","","","","平久小学校","ヘイキュウショウガッコウ","","江東区","木場1丁目","2-2","1350042","35.667941","139.802200","","(03)3644-0374","","","",""
"","B1","13","","","","","","東陽小学校","トウヨウショウガッコウ","","江東区","東陽3丁目","27-12","1350016","35.670477","139.815246","","(03)3644-0406","","","",""
"","B1","13","","","","","","南陽小学校","ナンヨウンショウガッコウ","","江東区","東陽2丁目","1-20","1350016","35.668429","139.813766","","(03)3649-3461","","","",""
"","B1","13","","","","","","川南小学校","センナンショウガッコウ","","江東区","千石2丁目","9-12","1350015","35.679825","139.816681","","(03)3647-0574","","","",""
"","B1","13","","","","","","扇橋小学校","オウギバシショウガッコウ","","江東区","石島","18-5","1350014","35.681291","139.811716","","(03)3647-0571","","","",""
