"都道府県コード又は市区町村コード","No","都道府県名","市区町村名","名称","名称_カナ","名称_通称","POIコード","住所","方書","電話番号","内線番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","説明","バリアフリー情報","URL","備考","郵便番号","アクセス方法","駐車場_有無","駐車場情報","料金_要否","料金_基本","料金_詳細","利用条件_有無","利用条件_詳細","託児所_有無","託児所_詳細","画像","画像_ライセンス","画像_詳細","経度","緯度","分類"
"131148","22","東京都","中野区","桃園第二小学校","モモゾノダイニショウガッコウ","","1503a","中野区中野1-57-12","","03-3363-0661","","","","","","","","","","","","164-0001","","","","","","","","","","","","","","139.67219976118","35.7034450245441","小中学校"
"131148","23","東京都","中野区","塔山小学校","トウノヤマショウガッコウ","","1503a","中野区中央1-49-1","","03-3363-0461","","","","","","","","","","","","164-0011","","","","","","","","","","","","","","139.683745675354","35.7008431179998","小中学校"
"131148","24","東京都","中野区","谷戸小学校","ヤトショウガッコウ","","1503a","中野区中野1-26-1","","03-3361-3645","","","","","","","","","","","","164-0001","","","","","","","","","","","","","","139.67755100912","35.7021689505598","小中学校"
"131148","25","東京都","中野区","中野本郷小学校","ナカノホンゴウショウガッコウ","","1503a","中野区弥生町1-25-1","","03-3381-7255","","","","","","","","","","","","164-0012","","","","","","","","","","","","","","139.679758533152","35.6921172284403","小中学校"
"131148","26","東京都","中野区","江古田小学校","エゴタショウガッコウ","","1503a","中野区江古田2-13-28","","03-3385-0411","","","","","","","","","","","","165-0022","","","","","","","","","","","","","","139.666767963748","35.7263551533136","小中学校"
"131148","28","東京都","中野区","啓明小学校","ケイメイショウガッコウ","","1503a","中野区大和町1-18-1","","03-3330-2325","","","","","","","","","","","","165-0034","","","","","","","","","","","","","","139.652394745014","35.713499638023","小中学校"
"131148","29","東京都","中野区","北原小学校","キタハラショウガッコウ","","1503a","中野区野方6-30-6","","03-3330-2411","","","","","","","","","","","","165-0027","","","","","","","","","","","","","","139.651571878047","35.7213190304244","小中学校"
"131148","30","東京都","中野区","江原小学校","エハラショウガッコウ","","1503a","中野区江原町1-39-1","","03-3951-5880","","","","","","","","","","","","165-0023","","","","","","","","","","","","","","139.673334574156","35.729406692579","小中学校"
"131148","31","東京都","中野区","武蔵台小学校","ムサシダイショウガッコウ","","1503a","中野区上鷺宮5-1-1","","03-3999-1655","","","","","","","","","","","","165-0031","","","","","","","","","","","","","","139.62951716535","35.7274406150234","小中学校"
"131148","33","東京都","中野区","上鷺宮小学校","カミサギノミヤショウガッコウ","","1503a","中野区上鷺宮1-24-36","","03-3926-6381","","","","","","","","","","","","165-0031","","","","","","","","","","","","","","139.635130520409","35.7314435950351","小中学校"
