"教育機関_学校コード","教育機関_学校種","教育機関_都道府県番号","教育機関_設置区分","教育機関_設置者情報","教育機関_本分校","教育機関_本校学校コード","教育機関_本校学校名","教育機関_学校名","教育機関_学校名カナ表記","教育機関_学校略称","教育機関_学校所在地（市区町村）","教育機関_学校所在地（町字）","教育機関_学校所在地（番地以下）","教育機関_郵便番号","教育機関_緯度","教育機関_経度","教育機関_連絡先名称","教育機関_連絡先電話番号","教育機関_属性情報設定年月日","教育機関_属性情報廃止年月日","教育機関_旧学校調査番号","教育機関_移行後の学校コード"
"","B1","13","","","","","","旭丘小学校","","","練馬区","旭丘2丁目","21-1","1760005","35.736695","139.676803","","(03)3957-2151","","","",""
"","B1","13","","","","","","小竹小学校","","","練馬区","小竹町2丁目","6-7","1760004","35.744098","139.679836","","(03)3956-8391","","","",""
"","B1","13","","","","","","開進第四小学校","","","練馬区","羽沢2丁目","33-1","1760003","35.747817","139.671278","","(03)3993-6153","","","",""
"","B1","13","","","","","","豊玉第二小学校","","","練馬区","豊玉上2丁目","16-1","1760011","35.737421","139.66169","","(03)3993-0421","","","",""
"","B1","13","","","","","","豊玉小学校","","","練馬区","豊玉中4丁目","2-20","1760013","35.732943","139.652217","","(03)3993-4286","","","",""
"","B1","13","","","","","","豊玉南小学校","","","練馬区","豊玉南2丁目","14-1","1760014","35.727679","139.656025","","(03)3993-6425","","","",""
"","B1","13","","","","","","豊玉東小学校","","","練馬区","豊玉北1丁目","16-1","1760012","35.732734","139.667968","","(03)3993-4217","","","",""
"","B1","13","","","","","","中村小学校","","","練馬区","中村2丁目","8-1","1760024","35.73143","139.643675","","(03)3990-4241","","","",""
"","B1","13","","","","","","中村西小学校","","","練馬区","中村北4丁目","17-1","1760023","35.734214","139.634829","","(03)3990-4237","","","",""
"","B1","13","","","","","","開進第三小学校","","","練馬区","桜台2丁目","18-1","1760002","35.742881","139.666625","","(03)3993-4263","","","",""
"","B1","13","","","","","","開進第二小学校","","","練馬区","桜台5丁目","10-5","1760002","35.741979","139.658155","","(03)3993-2425","","","",""
"","B1","13","","","","","","南町小学校","","","練馬区","練馬2丁目","7-5","1760001","35.740894","139.652771","","(03)3993-2438","","","",""
"","B1","13","","","","","","向山小学校","","","練馬区","向山2丁目","14-11","1760022","35.740399","139.640533","","(03)3999-9145","","","",""
"","B1","13","","","","","","練馬第三小学校","","","練馬区","貫井1丁目","36-15","1760021","35.737291","139.635435","","(03)3970-5641","","","",""
"","B1","13","","","","","","練馬第二小学校","","","練馬区","貫井2丁目","31-13","1760021","35.741411","139.633666","","(03)3990-4247","","","",""
"","B1","13","","","","","","仲町小学校","","","練馬区","氷川台2丁目","18-24","1790084","35.757929","139.667676","","(03)3932-5360","","","",""
"","B1","13","","","","","","早宮小学校","","","練馬区","早宮4丁目","10-17","1790085","35.752092","139.651002","","(03)3993-5165","","","",""
"","B1","13","","","","","","開進第一小学校","","","練馬区","早宮2丁目","1-31","1790085","35.754614","139.657402","","(03)3932-3170","","","",""
"","B1","13","","","","","","練馬東小学校","","","練馬区","春日町1丁目","30-11","1790074","35.752199","139.647327","","(03)3990-9142","","","",""
"","B1","13","","","","","","春日小学校","","","練馬区","春日町5丁目","12-1","1790074","35.746774","139.639523","","(03)3926-7102","","","",""
