"教育機関_学校コード","教育機関_学校種","教育機関_都道府県番号","教育機関_設置区分","教育機関_設置者情報","教育機関_本分校","教育機関_本校学校コード","教育機関_本校学校名","教育機関_学校名","教育機関_学校名カナ表記","教育機関_学校略称","教育機関_学校所在地（市区町村）","教育機関_学校所在地（町字）","教育機関_学校所在地（番地以下）","教育機関_郵便番号","教育機関_緯度","教育機関_経度","教育機関_連絡先名称","教育機関_連絡先電話番号","教育機関_属性情報設定年月日","教育機関_属性情報廃止年月日","教育機関_旧学校調査番号","教育機関_移行後の学校コード"
"","B1","13","2","","","","","赤堤","","","世田谷区","赤堤1丁目","41-24","1560044","35.654995","139.637639","","(03)3323-0291","","","",""
"","B1","13","2","","","","","旭","","","世田谷区","野沢1丁目","4-3","1540003","35.635347","139.670295","","(03)3424-1337","","","",""
"","B1","13","2","","","","","池尻","","","世田谷区","池尻2丁目","4-10","1540001","35.646017","139.679688","","(03)3424-2410","","","",""
"","B1","13","2","","","","","池之上","","","世田谷区","代沢2丁目","42-15","1550032","35.660202","139.673477","","(03)3411-8314","","","",""
"","B1","13","2","","","","","奥沢","","","世田谷区","奥沢3丁目","1-1","1580083","35.599811","139.674963","","(03)3727-3535","","","",""
"","B1","13","2","","","","","尾山台","","","世田谷区","尾山台3丁目","11-1","1580086","35.604594","139.654348","","(03)3701-2183","","","",""
"","B1","13","2","","","","","上北沢","","","世田谷区","上北沢4丁目","22-29","1560057","35.669986","139.621265","","(03)3302-0485","","","",""
"","B1","13","2","","","","","烏山","","","世田谷区","給田1丁目","2-1","1570064","35.663523","139.592796","","(03)3300-6158","","","",""
"","B1","13","2","","","","","烏山北","","","世田谷区","北烏山6丁目","3-1","1570061","35.673875","139.599607","","(03)3300-5764","","","",""
"","B1","13","2","","","","","喜多見","","","世田谷区","喜多見3丁目","11-1","1570067","35.62602","139.601465","","(03)3416-8232","","","",""
"","B1","13","2","","","","","砧","","","世田谷区","喜多見6丁目","9-1","1570067","35.631758","139.605322","","(03)3417-4477","","","",""
"","B1","13","2","","","","","砧南","","","世田谷区","鎌田4丁目","3-1","1570077","35.622533","139.612398","","(03)3417-2378","","","",""
"","B1","13","2","","","","","希望丘","","","世田谷区","船橋4丁目","9-1","1560055","35.656542","139.621645","","(03)3484-1972","","","",""
"","B1","13","2","","","","","給田","","","世田谷区","給田4丁目","24-1","1570064","35.671169","139.59236","","(03)3308-5671","","","",""
"","B1","13","2","","","","","京西","","","世田谷区","用賀4丁目","27-4","1580097","35.628925","139.631336","","(03)3700-1128","","","",""
"","B1","13","2","","","","","経堂","","","世田谷区","桜上水1丁目","23-3","1560045","35.65626","139.631009","","(03)3420-3278","","","",""
"","B1","13","2","","","","","九品仏","","","世田谷区","奥沢8丁目","12-1","1580083","35.603254","139.660136","","(03)3703-0458","","","",""
