施設名称,区,町名以降,郵便番号,電話番号,経度,緯度,分類
城南小学校,品川区,南品川2-8-21 ,1400004,(03)3471-7919,139.7427322,35.61317374,小学校
浅間台小学校,品川区,南品川6-8-8,1400004,(03)3474-2727,139.736532,35.6114809,小学校
三木小学校,品川区,西品川3-16-28,1410033,(03)3491-0404,139.7268158,35.6152914,小学校
城南第二小学校,品川区,東品川3-4-5,1400002,(03)3471-7481,139.7461815,35.61565968,小学校
芳水小学校,品川区,大崎3-12-22,1410032,(03)3491-1555,139.7248065,35.61908622,小学校
第三日野小学校,品川区,上大崎1-19-19,1410021,(03)3441-6452,139.7242124,35.63268084,小学校
第四日野小学校,品川区,西五反田4-29-9,1410031,(03)3491-1281,139.7125064,35.6256563,小学校
大井第一小学校,品川区,大井6-1-32,1400014,(03)3771-5240,139.7312848,35.59853695,小学校
鮫浜小学校,品川区,東大井2-10-14,1400011,(03)3765-2844,139.7406887,35.6014717,小学校
山中小学校,品川区,大井3-7-19,1400014,(03)3772-3006,139.7300265,35.60306271,小学校
立会小学校,品川区,東大井4-15-9,1400011,(03)3474-3424,139.7398886,35.60446196,小学校
浜川小学校,品川区,南大井4-3-27 ,1400013,(03)3761-0530,139.7358644,35.59823201,小学校
伊藤小学校,品川区,西大井5-6-8 ,1400015,(03)3771-5331,139.7170305,35.59867105,小学校
鈴ヶ森小学校,品川区,南大井4-16-2,1400013,(03)3763-6631,139.7352088,35.59425917,小学校
台場小学校,品川区,東品川1-8-30 ,1400002,(03)3471-3397,139.7437964,35.62102655,小学校
京陽小学校,品川区,平塚2-19-20,1420051,(03)3781-4775,139.7131309,35.61499504,小学校
延山小学校,品川区,西中延2-17-5,1420054,(03)3781-3806,139.7081212,35.6090273,小学校
中延小学校,品川区,中延1-11-15,1420053,(03)3781-4016,139.709408,35.61253726,小学校
小山小学校,品川区,小山5-10-6,1420062,(03)3781-0044,139.7031277,35.61617258,小学校
大原小学校,品川区,戸越6-17-3,1420041,(03)3781-4487,139.7161396,35.6071632,小学校
宮前小学校,品川区,戸越4-5-10,1420041,(03)3781-4386,139.7187181,35.612102,小学校
源氏前小学校,品川区,中延6-2-18,1420053,(03)3781-4348,139.7117335,35.60325116,小学校
第二延山小学校,品川区,旗の台1-6-1,1420064,(03)3781-1348,139.7034064,35.61002798,小学校
後地小学校,品川区,小山2-4-6,1420062,(03)3781-0890,139.708533,35.62158712,小学校
戸越小学校,品川区,豊町2-1-20,1420042,(03)3781-2856,139.7213296,35.61111555,小学校
旗台小学校,品川区,旗の台4-7-11,1420064,(03)3785-1687,139.7041631,35.60333612,小学校
上神明小学校,品川区,二葉4-4-10,1420043,(03)3781-4792,139.7152969,35.60299754,小学校
清水台小学校,品川区,旗の台1-11-17,1420064,(03)3781-4841,139.7026372,35.60739376,小学校
小山台小学校,品川区,小山台1-18-24,1420061,(03)3712-7587,139.7032153,35.62285758,小学校
第一日野小学校,品川区,西五反田6-5-32,1410031,(03)3492-6258,139.7162216,35.62238661,小学校
御殿山小学校,品川区,北品川5-2-6,1410001,(03)3441-0814,139.7323506,35.6233162,小学校
東海中学校,品川区,東品川3-30-15,1400002,(03)3471-6951,139.7492204,35.61245923,中学校
大崎中学校,品川区,西品川3-10-6,1410033,(03)3491-6623,139.7227275,35.61553497,中学校
浜川中学校,品川区,東大井3-18-34,1400011,(03)3761-1014,139.7382919,35.60021772,中学校
鈴ヶ森中学校,品川区,南大井2-3-14,1400013,(03)3765-2849,139.7378643,35.59285749,中学校
冨士見台中学校,品川区,西大井5-5-14,1400015,(03)3772-0900,139.7154348,35.59829894,中学校
荏原第一中学校,品川区,荏原1-24-30,1420063,(03)3785-1680,139.7128405,35.61945055,中学校
荏原第五中学校,品川区,旗の台5-11-13,1420064,(03)3781-5643,139.7019616,35.60330544,中学校
荏原第六中学校,品川区,小山5-20-19,1420062,(03)3781-7776,139.699938,35.61643103,中学校
戸越台中学校,品川区,戸越1-15-23 ,1420041,(03)3781-6250,139.7176744,35.61552698,中学校
八潮学園,品川区,八潮5-11-2,1400003,(03)3799-1641,139.7514686,35.60105693,義務教育学校
伊藤学園,品川区,大井5-1-37,1400014,(03)3771-3374,139.7262013,35.60005677,義務教育学校
日野学園,品川区,東五反田2-11-1,1410022,(03)3441-3209,139.7282104,35.62457252,義務教育学校
荏原平塚学園,品川区,平塚3-16-26 ,1420051,(03)3782-7770,139.7099159,35.61575103,義務教育学校
品川学園,品川区,北品川3-9-30　,1400001,(03)3474-2671,139.7384663,35.61817005,義務教育学校
豊葉の杜学園,品川区,二葉1-3-40,1420043,(03)3782-2930,139.7254991,35.6073523,義務教育学校
