"教育機関_学校コード","教育機関_学校種","教育機関_都道府県番号","教育機関_設置区分","教育機関_設置者情報","教育機関_本分校","教育機関_本校学校コード","教育機関_本校学校名","教育機関_学校名","教育機関_学校名カナ表記","教育機関_学校略称","教育機関_学校所在地（市区町村）","教育機関_学校所在地（町字）","教育機関_学校所在地（番地以下）","教育機関_郵便番号","教育機関_緯度","教育機関_経度","教育機関_連絡先名称","教育機関_連絡先電話番号","教育機関_属性情報設定年月日","教育機関_属性情報廃止年月日","教育機関_旧学校調査番号","教育機関_移行後の学校コード"
"","C1","","","","","","","両国高等学校附属","リョウゴクコウトウガッコウフゾク","","墨田区","江東橋1","7-14","1300022","35.694854","139.810058","","(03)3631-1878","","","",""
"","E1","","","","","","","墨田特別支援学校","スミダトクベツシエンガッコウ","","墨田区","八広5","10-2","1310041","35.725274","139.825065","","(03)3619-4852","","","",""
"","B1","13","2","","","","","緑小学校","","","墨田区","緑2丁目","12-12","1300021","35.694025","139.801337","","(03)3634-6876","","","",""
"","B1","13","2","","","","","外手小学校","","","墨田区","本所2丁目","1-16","1300004","35.702607","139.800598","","(03)3625-0301","","","",""
"","B1","13","2","","","","","二葉小学校","","","墨田区","石原2丁目","1-5","1300011","35.699284","139.800185","","(03)3625-0305","","","",""
"","B1","13","2","","","","","錦糸小学校","","","墨田区","錦糸1丁目","9-12","1300013","35.698701","139.811392","","(03)3625-0311","","","",""
"","B1","13","2","","","","","中和小学校","","","墨田区","菊川1丁目","18-10","1300024","35.690154","139.802724","","(03)3634-7476","","","",""
"","B1","13","2","","","","","言問小学校","","","墨田区","向島5丁目","40-14","1310033","35.71871","139.811376","","(03)3625-0315","","","",""
"","B1","13","2","","","","","小梅小学校","","","墨田区","向島2丁目","4-10","1310033","35.714446","139.805935","","(03)3625-0321","","","",""
"","B1","13","2","","","","","柳島小学校","","","墨田区","横川5丁目","2-30","1300003","35.703609","139.817465","","(03)3625-0325","","","",""
"","B1","13","2","","","","","業平小学校","","","墨田区","業平2丁目","4-8","1300002","35.70641","139.811509","","(03)3625-0331","","","",""
"","B1","13","2","","","","","両国小学校","","","墨田区","両国4丁目","26-6","1300026","35.693745","139.795191","","(03)3634-7876","","","",""
"","B1","13","2","","","","","横川小学校","","","墨田区","東駒形4丁目","18-4","1300005","35.707194","139.806277","","(03)3625-0335","","","",""
"","B1","13","2","","","","","菊川小学校","","","墨田区","立川4丁目","12-15","1300023","35.691621","139.807607","","(03)3634-8176","","","",""
"","B1","13","2","","","","","第三吾嬬小学校","","","墨田区","八広2丁目","36-3","1310041","35.717152","139.827789","","(03)3617-7513","","","",""
"","B1","13","2","","","","","第四吾嬬小学校","","","墨田区","京島3丁目","64-9","1310046","35.713043","139.825063","","(03)3617-0232","","","",""
"","B1","13","2","","","","","第一寺島小学校","","","墨田区","東向島1丁目","16-2","1310032","35.721582","139.814452","","(03)3614-0103","","","",""
