教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
,B1,13,2,,,,,上野小学校,,,台東区,東上野6丁目,8月16日,1100015,35.713528,139.783577,,(03)3842-5356,,,,
,B1,13,2,,,,,平成小学校,,,台東区,台東4丁目,21-15,1100016,35.706068,139.780333,,(03)3831-1530,,,,
,B1,13,2,,,,,根岸小学校,,,台東区,根岸3丁目,9月8日,1100003,35.723633,139.779022,,(03)3876-2411,,,,
,B1,13,2,,,,,東泉小学校,,,台東区,三ノ輪1丁目,9月23日,1100011,35.728474,139.792204,,(03)3876-2747,,,,
,B1,13,2,,,,,忍岡小学校,,,台東区,池之端2丁目,1月22日,1100008,35.713915,139.766776,,(03)3822-4661,,,,
,B1,13,2,,,,,谷中小学校,,,台東区,谷中2丁目,9月16日,1100001,35.72369,139.765267,,(03)3828-9218,,,,
,B1,13,2,,,,,金曽木小学校,,,台東区,根岸4丁目,16-22,1100003,35.725787,139.785173,,(03)3876-3701,,,,
,B1,13,2,,,,,黒門小学校,,,台東区,上野1丁目,16-20,1100005,35.70707,139.771045,,(03)3831-6039,,,,
,B1,13,2,,,,,大正小学校,,,台東区,入谷2丁目,8月23日,1100013,35.720834,139.788127,,(03)3876-5592,,,,
,B1,13,2,,,,,浅草小学校,,,台東区,花川戸1丁目,14-15,1110033,35.713514,139.79919,,(03)3841-1575,,,,
,B1,13,2,,,,,台東育英小学校,,,台東区,浅草橋2丁目,8月26日,1110053,35.700176,139.785522,,(03)3851-3600,,,,
,B1,13,2,,,,,蔵前小学校,,,台東区,蔵前4丁目,11月19日,1110051,35.704347,139.78936,,(03)3851-1535,,,,
,B1,13,2,,,,,東浅草小学校,,,台東区,東浅草2丁目,27-19,1110025,35.724458,139.798323,,(03)3875-0035,,,,
,B1,13,2,,,,,富士小学校,,,台東区,浅草4丁目,Sep-48,1110032,35.718783,139.798577,,(03)3874-9361,,,,
,B1,13,2,,,,,松葉小学校,,,台東区,松が谷1丁目,13-16,1110036,35.712233,139.786504,,(03)3841-2627,,,,
